"Natural and applied sciences and related occupations","Non-university certificate or diploma","..","10,700B","7,785B","7,700B","7,525B","8,580A","9,250A","7,805A","9,835A","10,700A","11,060B","10,475A","12,485B","13,060B","13,495A","13,750A","15,370A","15,745A","11,570A","12,190A","14,130A","..","..","11,860A","15,100A","16,365A","19,580A","19,465A","22,210A","23,345A","20,905A","17,435A","17,100A","17,055A","14,980A"
"Natural and applied sciences and related occupations","University certificate or diploma below bachelor's level","..","2,825B","2,380B","2,040C","2,550B","2,675B","3,085B","2,375D","2,475B","2,570B","3,270D","3,050B","3,035B","4,280B","3,545B","3,990B","4,480B","3,430B","2,800B","3,380B","4,535B","..","..","3,745B","4,375B","5,400B","5,490B","5,945B","6,670B","7,180B","5,535B","4,995B","4,945B","4,515B","4,665B"
"Natural and applied sciences and related occupations","Bachelor's degree","..","9,790B","9,020B","8,660B","9,120B","9,270A","10,725A","10,205A","10,505B","12,395A","11,875A","12,620A","13,780A","15,375A","16,970A","16,905A","17,220A","17,010A","17,310A","17,525A","19,180A","..","..","17,680B","19,760A","21,415A","24,530A","29,200A","28,320A","34,650A","28,550A","26,340A","23,815A","20,490A","17,710A"
"Natural and applied sciences and related occupations","University certificate, diploma or degree above the bachelor's level","..","855C","1,160D","1,075C","830D","1,030C","1,220C","1,310C","1,030C","1,090C","1,405D","1,195B","1,045C","1,390D","1,160B","1,275C","1,665C","2,505D","1,305C","1,950C","2,250C","..","..","1,975C","2,175C","2,705C","3,130B","3,665B","3,565B","3,380B","2,875B","2,855B","2,535B","2,235C","1,750C"
"Health occupations","Minimum level of education required, all levels","22,850E","23,185A","21,200A","20,935A","22,650A","24,205A","22,940A","22,150A","24,800A","26,305A","27,465A","27,425A","29,975A","36,110A","35,425A","34,190A","37,665A","41,460A","40,340A","37,475A","43,390A","..","..","65,435A","63,660A","72,005A","79,675A","78,570A","82,830A","82,130A","96,620A","92,515A","92,180A","89,955A","91,930A"
"Health occupations","No minimum level of education required","..","600D","785D","490D","475D","635E","575D","575D","660D","805D","955C","660C","1,080C","1,140C","1,305C","1,310C","1,455E","1,830D","1,875E","1,440E","1,095E","..","..","1,395D","1,885D","2,035E","3,035C","3,275C","2,980D","2,430C","3,095C","2,220D","2,315D","2,310D","1,690D"
"Health occupations","High school diploma or equivalent","..","2,055C","2,100C","2,040B","2,370C","2,020C","2,135B","1,955B","1,565B","2,320C","3,060B","2,885B","3,350C","3,510C","2,960B","2,990B","3,290B","3,515B","3,910B","3,305B","3,820B","..","..","5,115D","4,945C","6,545D","7,885E","5,700B","6,345C","5,760B","6,735B","6,190C","5,420C","4,380C","4,800C"
"Health occupations","Non-university certificate or diploma","..","12,930B","11,635B","11,900A","13,365B","13,940A","13,455A","13,545A","14,325B","15,500A","15,560A","16,405A","16,535A","21,185A","20,440A","20,040A","23,150A","24,915A","22,120A","21,030A","25,805A","..","..","40,975C","36,490B","39,180C","45,090B","46,160B","47,600B","47,505A","58,200A","52,740C","53,225B","52,700B","51,830C"
"Health occupations","University certificate or diploma below bachelor's level","..","1,800C","1,340C","1,235C","1,215C","1,125C","1,060B","925C","1,435C","1,875B","1,910B","1,230B","1,770B","1,960B","1,710B","1,485B","1,500B","1,780B","1,730B","1,425B","1,765B","..","..","3,110D","3,620C","4,055D","3,905B","4,725B","4,820C","6,120B","5,915B","7,215C","5,415C","5,685C","5,355C"
"Health occupations","Bachelor's degree","..","4,580B","4,075B","3,875B","3,830B","4,845B","4,495B","4,180B","5,445C","4,435A","4,500A","4,430B","5,160A","6,185A","6,430A","6,235A","6,105A","6,890A","8,455A","7,600A","8,145A","..","..","10,245C","12,350B","15,065C","15,285B","12,585B","15,495B","13,955B","15,885A","17,105C","19,105B","18,210B","21,100C"
"Health occupations","University certificate, diploma or degree above the bachelor's level","..","1,220C","1,265C","1,390C","1,390C","1,640C","1,230B","975C","1,375D","1,370C","1,480C","1,810B","2,085B","2,130B","2,575B","2,125B","2,165B","2,530B","2,255B","2,675B","2,760B","..","..","4,590D","4,370C","5,130D","4,480B","6,125B","5,590C","6,365B","6,790B","7,040C","6,700C","6,670C","7,155C"
"Occupations in education, law and social, community and government services","Minimum level of education required, all levels","21,335E","20,520A","19,065A","18,590A","18,555A","20,910A","21,620A","20,080A","20,655A","25,015A","26,915A","26,030A","28,230A","32,475A","35,190A","33,280A","33,620A","35,505A","34,260A","33,420A","36,040A","..","..","42,300A","44,005A","49,300A","50,475A","60,095A","66,975A","69,660A","64,730A","64,280A","64,035A","66,610A","63,225A"
"Occupations in education, law and social, community and government services","No minimum level of education required","..","1,315C","1,000C","1,060C","1,415C","1,015C","855C","980C","1,140C","1,330C","1,920C","1,535C","1,400C","2,295C","2,405C","2,055C","1,755C","2,835C","2,125B","1,925C","2,440C","..","..","3,045B","3,920D","3,280B","3,375B","4,750B","4,410B","5,260B","5,795B","5,365B","4,870B","5,240B","4,740B"
"Occupations in education, law and social, community and government services","High school diploma or equivalent","..","3,230B","3,130B","3,500B","3,160B","4,080D","3,300B","2,855B","3,605B","4,345B","4,910B","5,485B","4,670B","5,555C","6,930B","6,135B","6,345C","5,365B","6,090B","4,875B","5,665B","..","..","7,350B","7,670B","9,310B","10,495B","11,385B","12,300B","13,875B","12,660B","12,525B","12,745B","11,605B","11,400B"
"Occupations in education, law and social, community and government services","Non-university certificate or diploma","..","7,735B","7,280B","7,375B","7,060B","7,910B","7,780B","8,005B","7,620B","9,160B","9,340B","9,185B","11,720B","12,790B","12,695B","12,465A","12,525B","13,445A","13,780A","13,940A","14,760A","..","..","17,940A","17,540B","19,275A","19,340A","25,790B","28,395B","28,380A","25,130A","24,365A","25,405A","26,470A","25,495A"
"Occupations in education, law and social, community and government services","University certificate or diploma below bachelor's level","..","1,780D","1,245C","1,060C","1,375C","1,410C","1,910C","1,280C","1,685C","1,740B","1,995B","1,785C","1,575B","1,655B","2,675B","1,835B","2,080B","2,030B","1,785B","1,830C","2,320C","..","..","2,085C","2,655B","3,465B","3,905B","3,415B","4,580B","4,545B","3,945B","4,025B","3,860C","4,855B","4,315B"
"Occupations in education, law and social, community and government services","Bachelor's degree","..","3,930B","4,235B","3,565B","3,260B","4,055B","4,895B","4,135B","4,245A","5,350A","6,130A","5,435A","5,520A","6,120B","7,105A","6,310B","7,175A","7,045A","6,480A","7,020A","6,465A","..","..","7,045A","7,510A","8,535B","8,335A","9,240A","10,700A","10,465A","10,795A","11,765A","10,110A","11,515A","10,840A"
"Occupations in education, law and social, community and government services","University certificate, diploma or degree above the bachelor's level","..","2,530B","2,170B","2,035B","2,290B","2,445B","2,885B","2,825B","2,360B","3,095A","2,625A","2,605B","3,340A","4,055B","3,375A","4,475B","3,740B","4,790B","4,000B","3,835A","4,390A","..","..","4,830A","4,710B","5,430B","5,020B","5,520B","6,595B","7,135B","6,405B","6,235B","7,040B","6,930A","6,435B"
"Occupations in art, culture, recreation and sport","Minimum level of education required, all levels","9,760E","13,020C","6,640B","6,560B","7,565B","10,520B","8,160B","7,985B","10,930B","14,525B","8,895B","8,415B","10,305A","12,170A","10,185B","10,600A","12,770B","13,725B","11,805B","10,375B","11,735A","..","..","8,140B","11,015B","14,415B","16,450B","16,060B","16,285A","22,905A","15,485B","14,465B","15,080A","15,795A","12,025A"
"Occupations in art, culture, recreation and sport","No minimum level of education required","..","F","2,070B","2,080C","2,205C","3,235B","2,190D","2,235B","4,320D","5,570C","2,630B","2,560B","3,090B","3,965B","3,580B","3,705B","4,960B","5,220B","3,700B","2,790B","3,550B","..","..","2,060C","2,335C","5,120C","4,980B","4,150B","5,120B","7,465B","4,675B","4,425C","4,360B","5,860B","4,040B"
"Occupations in art, culture, recreation and sport","High school diploma or equivalent","..","3,515C","1,295D","1,210D","1,465B","2,780C","1,965C","2,110D","2,480C","3,795B","1,870C","1,680C","2,550C","2,865B","2,460D","2,105C","2,645D","3,320C","3,260C","2,275B","2,365C","..","..","1,525D","3,045C","3,370C","3,200D","3,135D","2,615B","4,910B","3,155C","2,475C","4,045C","3,545B","2,615C"
"Occupations in art, culture, recreation and sport","Non-university certificate or diploma","..","3,330C","2,215B","2,100C","2,850D","3,140B","2,255C","2,350C","2,630B","3,185B","2,770B","2,290C","3,175B","3,445B","2,600B","3,100B","3,275B","3,310B","3,105C","3,725D","3,565B","..","..","3,060B","3,890C","3,680B","5,310B","6,095B","5,550B","6,765B","5,520B","5,605B","4,510B","4,115B","3,295B"
"Occupations in art, culture, recreation and sport","University certificate or diploma below bachelor's level","..","530D","440C","370D","375D","455D","580D","495C","575D","820D","475C","670D","425D","695D","585D","600D","645D","615D","480D","435D","475D","..","..","440D","700D","635C","1,130C","1,000C","925C","1,085C","535C","580D","615D","695D","515D"
